Nome,Cargo,Tipo Cargo,CPF,Sobrenome,Cod_IBGE,Nepotismo
Aarão Araripe,Vereador,Eleito,480.905.661-97, Araripe,12,Não
Aarão Barroqueiro,Vereador,Eleito,083.537.880-20, Barroqueiro,13,Não
Aarão Brasil,Vereador,Eleito,677.094.936-96, Brasil,23,Não
Aarão Castelhano,Vereador,Eleito,796.967.771-16, Castelhano,53,Não
Aarão Ignacio,Vereador,Eleito,954.327.762-19, Ignacio,32,Não
Aarão Pires,Vereador,Eleito,981.337.107-23, Pires,52,Não
Aarão Teves,Vereador,Eleito,501.968.753-74, Teves,21,Não
Abel Colares,Vereador,Eleito,807.569.337-06, Colares,50,Não
Abel Cuaresma,Vereador,Eleito,390.132.629-45, Cuaresma,15,Não
Abel Eanes,Vereador,Eleito,005.985.965-26, Eanes,25,Não
Abel Girón,Vereador,Eleito,477.199.615-60, Girón,26,Não
Abel Imperial,Vereador,Eleito,315.464.947-66, Imperial,22,Não
Abel Junquera,Vereador,Eleito,899.591.400-91, Junquera,33,Não
Abel Linhares,Vereador,Eleito,837.993.833-01, Linhares,24,Não
Abel Lousã,Vereador,Eleito,177.433.137-35, Lousã,43,Não
Abel Prado,Vereador,Eleito,946.609.789-07, Prado,14,Não
Abigail Araújo,Vereador,Eleito,286.291.884-99, Araújo,28,Não
Abigail Camargo,Vereador,Eleito,497.846.459-55, Camargo,41,Não
Abigail Ferreira,Vereador,Eleito,391.971.504-79, Ferreira,16,Não
Abigail Isla,Vereador,Eleito,969.439.485-63, Isla,13,Não
Abigail Melgaço,Vereador,Eleito,047.713.293-62, Melgaço,23,Não
Abigail Pontes,Vereador,Eleito,132.714.185-00, Pontes,53,Não
Abigail Rua,Vereador,Eleito,500.946.402-03, Rua,32,Não
Abraão Alcántara,Vereador,Eleito,904.432.667-86, Alcántara,21,Não
Abraão Batista,Vereador,Eleito,849.753.795-54, Batista,51,Não
Abraão Caires,Vereador,Eleito,517.351.886-38, Caires,50,Não
