Nome,Cargo,Tipo Cargo,CPF,Cidade,Sobrenome,Cod_IBGE
Aarão Araripe,Vereador,Eleito,480.905.661-97,Rio Branco, Araripe,12
Aarão Avelar,Vereador,Eleito,448.323.833-70,Maceió, Avelar,27
Aarão Baranda,Vereador,Eleito,343.832.622-10,Macapá, Baranda,16
Aarão Barroqueiro,Vereador,Eleito,083.537.880-20,Manaus, Barroqueiro,13
Aarão Belchior,Vereador,Eleito,204.785.944-10,Salvador, Belchior,29
Aarão Brasil,Vereador,Eleito,677.094.936-96,Fortaleza, Brasil,23
Aarão Castelhano,Vereador,Eleito,796.967.771-16,Brasília, Castelhano,53
Aarão Ignacio,Vereador,Eleito,954.327.762-19,Vitória, Ignacio,32
Aarão Pires,Vereador,Eleito,981.337.107-23,Goiânia, Pires,52
Aarão Teves,Vereador,Eleito,501.968.753-74,São Luís, Teves,21
Abel Beça,Vereador,Eleito,452.721.485-33,Cuiabá, Beça,51
Abel Colares,Vereador,Eleito,807.569.337-06,Campo Grande, Colares,50
Abel Conceição,Vereador,Eleito,081.992.468-71,Belo Horizonte, Conceição,31
Abel Cuaresma,Vereador,Eleito,390.132.629-45,Belém, Cuaresma,15
Abel Eanes,Vereador,Eleito,005.985.965-26,João Pessoa, Eanes,25
Abel Fontes,Vereador,Eleito,371.035.865-51,Curitiba, Fontes,41
Abel Girón,Vereador,Eleito,477.199.615-60,Recife, Girón,26
Abel Imperial,Vereador,Eleito,315.464.947-66,Teresina, Imperial,22
Abel Junquera,Vereador,Eleito,899.591.400-91,Rio de Janeiro, Junquera,33
Abel Linhares,Vereador,Eleito,837.993.833-01,Natal, Linhares,24
Abel Lousã,Vereador,Eleito,177.433.137-35,Porto Alegre, Lousã,43
Abel Pimenta,Vereador,Eleito,548.062.003-79,Porto Velho, Pimenta,11
Abel Prado,Vereador,Eleito,946.609.789-07,Boa Vista, Prado,14
Abel Sobral,Vereador,Eleito,678.981.139-77,Florianópolis, Sobral,42
Abel Toledo,Vereador,Eleito,663.428.756-26,São Paulo, Toledo,35
Abigail Araújo,Vereador,Eleito,286.291.884-99,Aracaju, Araújo,28
Abigail Camargo,Vereador,Eleito,497.846.459-55,Palmas, Camargo,41
Abigail Castilhos,Vereador,Eleito,913.870.575-37,Rio Branco, Castilhos,12
Abigail Coito,Vereador,Eleito,741.654.352-52,Maceió, Coito,27
Abigail Ferreira,Vereador,Eleito,391.971.504-79,Macapá, Ferreira,16
Abigail Isla,Vereador,Eleito,969.439.485-63,Manaus, Isla,13
Abigail Mangueira,Vereador,Eleito,353.001.155-09,Salvador, Mangueira,29
Abigail Melgaço,Vereador,Eleito,047.713.293-62,Fortaleza, Melgaço,23
Abigail Pontes,Vereador,Eleito,132.714.185-00,Brasília, Pontes,53
Abigail Rua,Vereador,Eleito,500.946.402-03,Vitória, Rua,32
Abigail Teles,Vereador,Eleito,599.682.935-55,Goiânia, Teles,52
Abraão Alcántara,Vereador,Eleito,904.432.667-86,São Luís, Alcántara,21
Abraão Batista,Vereador,Eleito,849.753.795-54,Cuiabá, Batista,51
Abraão Caires,Vereador,Eleito,517.351.886-38,Campo Grande, Caires,50
Abraão Chaves,Vereador,Eleito,857.852.635-05,Belo Horizonte, Chaves,31
Abraão Menna,Vereador,Eleito,278.155.134-17,Belém, Menna,15
Abraão Moreno,Vereador,Eleito,260.610.375-03,João Pessoa, Moreno,25
Abraão Mourato,Vereador,Eleito,701.723.139-29,Curitiba, Mourato,41
Abraão Penha,Vereador,Eleito,605.265.543-71,Recife, Penha,26
Abraão Rocha,Vereador,Eleito,076.643.316-17,Teresina, Rocha,22
Abraão Sampaio,Vereador,Eleito,116.272.263-03,Rio de Janeiro, Sampaio,33
Abraão Vásquez,Vereador,Eleito,273.395.093-21,Natal, Vásquez,24
Abílio Bettencourt,Vereador,Eleito,732.020.176-32,Porto Alegre, Bettencourt,43
Abílio Colares,Vereador,Eleito,310.880.831-10,Porto Velho, Colares,11
Abílio Doutel,Vereador,Eleito,984.777.460-95,Boa Vista, Doutel,14
Abílio Godói,Vereador,Eleito,049.157.709-58,Florianópolis, Godói,42
Abílio Gouvêa,Vereador,Eleito,892.818.223-93,São Paulo, Gouvêa,35
Abílio Gómez,Vereador,Eleito,856.038.877-02,Aracaju, Gómez,28
Abílio Infante,Vereador,Eleito,632.051.422-17,Palmas, Infante,41
Abílio Jucá,Vereador,Eleito,608.484.565-72,Rio Branco, Jucá,12
Abílio Méndez,Vereador,Eleito,575.554.347-09,Maceió, Méndez,27
Abílio Ulloa,Vereador,Eleito,051.647.876-10,Macapá, Ulloa,16
Acacio Arantes,Vereador,Eleito,182.234.391-74,Manaus, Arantes,13
Acacio Moreyra,Vereador,Eleito,323.804.413-32,Salvador, Moreyra,29
Acacio Paiacã,Vereador,Eleito,493.137.251-18,Fortaleza, Paiacã,23
Acacio Santiago,Vereador,Eleito,030.760.914-68,Brasília, Santiago,53
Acacio Taperebá,Vereador,Eleito,612.706.496-12,Vitória, Taperebá,32
Adalberto Alvarenga,Vereador,Eleito,639.314.514-53,Goiânia, Alvarenga,52
Adalberto Amarante,Vereador,Eleito,271.944.941-59,São Luís, Amarante,21
Adalberto Avelar,Vereador,Eleito,764.864.373-16,Cuiabá, Avelar,51
Adalberto Bahia,Vereador,Eleito,908.393.220-62,Campo Grande, Bahia,50
Adalberto Barra,Vereador,Eleito,994.048.605-73,Belo Horizonte, Barra,31
Adalberto Becerril,Vereador,Eleito,885.168.620-38,Belém, Becerril,15
Adalberto Bogalho,Vereador,Eleito,983.521.189-27,João Pessoa, Bogalho,25
Adalberto Cachoeira,Vereador,Eleito,899.180.851-42,Curitiba, Cachoeira,41
Adalberto Camilo,Vereador,Eleito,490.366.722-79,Recife, Camilo,26
Adalberto Estrada,Vereador,Eleito,479.360.922-85,Teresina, Estrada,22
Adalberto Frois,Vereador,Eleito,668.736.896-61,Rio de Janeiro, Frois,33
Adalberto Jaguariúna,Vereador,Eleito,602.042.881-85,Natal, Jaguariúna,24
Adalberto Mexia,Vereador,Eleito,664.811.313-83,Porto Alegre, Mexia,43
Adalberto Oleiro,Vereador,Eleito,581.101.964-54,Porto Velho, Oleiro,11
Adalberto Piratininga,Vereador,Eleito,438.702.467-40,Boa Vista, Piratininga,14
Adalberto Saloio,Vereador,Eleito,069.464.811-60,Florianópolis, Saloio,42
Adalberto Varão,Vereador,Eleito,976.065.336-28,São Paulo, Varão,35
Adelaide Aragón,Vereador,Eleito,968.675.880-18,Aracaju, Aragón,28
Adelaide Caldera,Vereador,Eleito,153.212.194-60,Palmas, Caldera,41
Adelaide Dorneles,Vereador,Eleito,131.182.550-99,Rio Branco, Dorneles,12
Adelaide Fialho,Vereador,Eleito,192.804.020-99,Maceió, Fialho,27
Adelaide Guilheiro,Vereador,Eleito,799.212.194-56,Macapá, Guilheiro,16
Adelaide Losada,Vereador,Eleito,808.050.530-69,Manaus, Losada,13
Adelaide Lustosa,Vereador,Eleito,340.974.712-52,Salvador, Lustosa,29
Adelaide Malta,Vereador,Eleito,034.221.743-70,Fortaleza, Malta,23
Adelaide Minho,Vereador,Eleito,323.069.594-12,Brasília, Minho,53
Adelaide Nascimento,Vereador,Eleito,626.881.179-80,Vitória, Nascimento,32
Adelaide Rocha,Vereador,Eleito,720.856.855-36,Goiânia, Rocha,52
Adelaide Sacramento,Vereador,Eleito,218.897.875-74,São Luís, Sacramento,21
Adelaide Sequera,Vereador,Eleito,223.006.103-88,Cuiabá, Sequera,51
Adelaide Suárez,Vereador,Eleito,811.699.863-31,Campo Grande, Suárez,50
Adelina Alcantara,Vereador,Eleito,576.553.218-76,Belo Horizonte, Alcantara,31
Adelina Batista,Vereador,Eleito,999.820.158-69,Belém, Batista,15
Adelina Benevides,Vereador,Eleito,854.124.284-60,João Pessoa, Benevides,25
Adelina Bulhosa,Vereador,Eleito,576.366.358-60,Curitiba, Bulhosa,41
Adelina Castelão,Vereador,Eleito,063.650.195-72,Recife, Castelão,26
Adelina Castillo,Vereador,Eleito,217.897.405-84,Teresina, Castillo,22
Adelina Godinho,Vereador,Eleito,228.908.617-75,Rio de Janeiro, Godinho,33
Adelina Gomes,Vereador,Eleito,326.763.761-95,Natal, Gomes,24
Adelina Jesús,Vereador,Eleito,577.841.493-52,Porto Alegre, Jesús,43
Adelina Ramires,Vereador,Eleito,019.027.197-35,Porto Velho, Ramires,11
Adelina Robalinho,Vereador,Eleito,227.490.354-90,Boa Vista, Robalinho,14
Adelina Teves,Vereador,Eleito,697.779.542-55,Florianópolis, Teves,42
Adelino Bezerra,Vereador,Eleito,475.223.668-01,São Paulo, Bezerra,35
Adelino Cardim,Vereador,Eleito,383.554.375-00,Aracaju, Cardim,28
Adelino Godoy,Vereador,Eleito,811.325.083-20,Palmas, Godoy,41
Adelino Granjeiro,Vereador,Eleito,381.769.576-40,Rio Branco, Granjeiro,12
Adelino Gravato,Vereador,Eleito,352.704.584-89,Maceió, Gravato,27
Adelino Isla,Vereador,Eleito,678.967.872-70,Macapá, Isla,16
Adelino Mena,Vereador,Eleito,051.590.162-87,Manaus, Mena,13
Adelino Paraguaçu,Vereador,Eleito,500.159.262-30,Salvador, Paraguaçu,29
Adelino Porto,Vereador,Eleito,229.252.945-96,Fortaleza, Porto,23
Adelino Telles,Vereador,Eleito,131.006.707-44,Brasília, Telles,53
