Nome,Cargo,Tipo Cargo,CPF,Sobrenome,Cod_IBGE,Nepotismo
Carminda Anjos,Acessor,Indicado,987.386.143-24, Anjos,23,Não
Carminda Antúnez,Acessor,Indicado,222.750.733-02, Antúnez,53,Não
Carminda Balladares,Acessor,Indicado,462.692.264-30, Balladares,32,Não
Carminda Barrocas,Acessor,Indicado,571.218.232-76, Barrocas,52,Não
Carminda Bragança,Acessor,Indicado,078.386.035-87, Bragança,21,Não
Carminda Carijó,Acessor,Indicado,983.922.510-32, Carijó,51,Não
Carminda Carrasqueira,Acessor,Indicado,692.950.419-09, Carrasqueira,50,Não
Carminda Cidreira,Acessor,Indicado,252.128.558-70, Cidreira,31,Não
Carminda Gil,Acessor,Indicado,005.546.067-47, Gil,15,Não
Carminda Gusmão,Acessor,Indicado,799.549.874-87, Gusmão,25,Não
Carminda Lagos,Acessor,Indicado,199.282.411-80, Lagos,41,Não
Carminda Rebimbas,Acessor,Indicado,443.262.069-26, Rebimbas,26,Não
Carminda Tamoio,Acessor,Indicado,109.327.797-19, Tamoio,33,Não
Carolina Café,Acessor,Indicado,786.796.931-46, Café,24,Não
Carolina Caires,Acessor,Indicado,197.918.467-40, Caires,43,Não
Carolina CastelBranco,Acessor,Indicado,905.748.358-06, CastelBranco,11,Não
Carolina Gouveia,Acessor,Indicado,517.438.853-00, Gouveia,14,Não
Carolina Granjeia,Acessor,Indicado,606.322.671-00, Granjeia,42,Não
Carolina Jesus,Acessor,Indicado,479.562.995-19, Jesus,35,Não
Carolina Malta,Acessor,Indicado,820.897.272-09, Malta,28,Não
Carolina Peres,Acessor,Indicado,088.664.060-15, Peres,41,Não
Carolina Peçanha,Acessor,Indicado,663.325.760-06, Peçanha,12,Não
Carolina Pozas,Acessor,Indicado,388.793.218-89, Pozas,27,Não
Carolina Puerto,Acessor,Indicado,514.037.155-30, Puerto,16,Não
Carolina Raposo,Acessor,Indicado,695.984.975-69, Raposo,13,Não
Casimiro Alencar,Acessor,Indicado,371.777.826-99, Alencar,29,Não
Casimiro Carrilho,Acessor,Indicado,872.413.908-49, Carrilho,23,Não
Casimiro Júdice,Acessor,Indicado,962.037.090-26, Júdice,53,Não
Casimiro Orriça,Acessor,Indicado,216.567.245-70, Orriça,32,Não
Casimiro Pinhal,Acessor,Indicado,374.521.420-04, Pinhal,52,Não
Casimiro Sanches,Acessor,Indicado,749.215.604-98, Sanches,21,Não
Cassandra Beserra,Acessor,Indicado,031.520.197-50, Beserra,51,Não
Cassandra Cachoeira,Acessor,Indicado,507.156.007-02, Cachoeira,50,Não
Cassandra Doutel,Acessor,Indicado,304.239.940-00, Doutel,31,Não
Cassandra Malheiro,Acessor,Indicado,270.209.551-85, Malheiro,15,Não
Cassandra Rios,Acessor,Indicado,212.327.518-20, Rios,25,Não
Cassandra Rocha,Acessor,Indicado,541.632.598-48, Rocha,41,Não
Cassandra Sacadura,Acessor,Indicado,519.961.046-59, Sacadura,26,Não
Cassandra Santiago,Acessor,Indicado,472.003.169-20, Santiago,22,Não
Cassandra Saraíba,Acessor,Indicado,086.209.220-50, Saraíba,33,Não
Cassandra Simas,Acessor,Indicado,653.519.498-14, Simas,24,Não
Cassandra Zagalo,Acessor,Indicado,563.673.328-39, Zagalo,43,Não
Catarina Cabreira,Acessor,Indicado,230.777.158-13, Cabreira,11,Não
