Nome,Cargo,Tipo Cargo,cpf,Cidade
Aarão Araripe,Vereador,Eleito,480.905.661-97,Rio Branco
Aarão Avelar,Vereador,Eleito,448.323.833-70,Maceió
Aarão Baranda,Vereador,Eleito,343.832.622-10,Macapá
Aarão Barroqueiro,Vereador,Eleito,083.537.880-20,Manaus
Aarão Belchior,Vereador,Eleito,204.785.944-10,Salvador
Aarão Brasil,Vereador,Eleito,677.094.936-96,Fortaleza
Aarão Castelhano,Vereador,Eleito,796.967.771-16,Brasília
Aarão Ignacio,Vereador,Eleito,954.327.762-19,Vitória
Aarão Pires,Vereador,Eleito,981.337.107-23,Goiânia
Aarão Teves,Vereador,Eleito,501.968.753-74,São Luís
Abel Beça,Vereador,Eleito,452.721.485-33,Cuiabá
Abel Colares,Vereador,Eleito,807.569.337-06,Campo Grande
Abel Conceição,Vereador,Eleito,081.992.468-71,Belo Horizonte
Abel Cuaresma,Vereador,Eleito,390.132.629-45,Belém
Abel Eanes,Vereador,Eleito,005.985.965-26,João Pessoa
Abel Fontes,Vereador,Eleito,371.035.865-51,Curitiba
Abel Girón,Vereador,Eleito,477.199.615-60,Recife
Abel Imperial,Vereador,Eleito,315.464.947-66,Teresina
Abel Junquera,Vereador,Eleito,899.591.400-91,Rio de Janeiro
Abel Linhares,Vereador,Eleito,837.993.833-01,Natal
Abel Lousã,Vereador,Eleito,177.433.137-35,Porto Alegre
Abel Pimenta,Vereador,Eleito,548.062.003-79,Porto Velho
Abel Prado,Vereador,Eleito,946.609.789-07,Boa Vista
Abel Sobral,Vereador,Eleito,678.981.139-77,Florianópolis
Abel Toledo,Vereador,Eleito,663.428.756-26,São Paulo
Abigail Araújo,Vereador,Eleito,286.291.884-99,Aracaju
Abigail Camargo,Vereador,Eleito,497.846.459-55,Palmas
Abigail Castilhos,Vereador,Eleito,913.870.575-37,Rio Branco
Abigail Coito,Vereador,Eleito,741.654.352-52,Maceió
Abigail Ferreira,Vereador,Eleito,391.971.504-79,Macapá
Abigail Isla,Vereador,Eleito,969.439.485-63,Manaus
Abigail Mangueira,Vereador,Eleito,353.001.155-09,Salvador
Abigail Melgaço,Vereador,Eleito,047.713.293-62,Fortaleza
Abigail Pontes,Vereador,Eleito,132.714.185-00,Brasília
Abigail Rua,Vereador,Eleito,500.946.402-03,Vitória
Abigail Teles,Vereador,Eleito,599.682.935-55,Goiânia
Abraão Alcántara,Vereador,Eleito,904.432.667-86,São Luís
Abraão Batista,Vereador,Eleito,849.753.795-54,Cuiabá
Abraão Caires,Vereador,Eleito,517.351.886-38,Campo Grande
Abraão Chaves,Vereador,Eleito,857.852.635-05,Belo Horizonte
Abraão Menna,Vereador,Eleito,278.155.134-17,Belém
Abraão Moreno,Vereador,Eleito,260.610.375-03,João Pessoa
Abraão Mourato,Vereador,Eleito,701.723.139-29,Curitiba
Abraão Penha,Vereador,Eleito,605.265.543-71,Recife
Abraão Rocha,Vereador,Eleito,076.643.316-17,Teresina
Abraão Sampaio,Vereador,Eleito,116.272.263-03,Rio de Janeiro
Abraão Vásquez,Vereador,Eleito,273.395.093-21,Natal
Abílio Bettencourt,Vereador,Eleito,732.020.176-32,Porto Alegre
Abílio Colares,Vereador,Eleito,310.880.831-10,Porto Velho
Abílio Doutel,Vereador,Eleito,984.777.460-95,Boa Vista
Abílio Godói,Vereador,Eleito,049.157.709-58,Florianópolis
Abílio Gouvêa,Vereador,Eleito,892.818.223-93,São Paulo
Abílio Gómez,Vereador,Eleito,856.038.877-02,Aracaju
Abílio Infante,Vereador,Eleito,632.051.422-17,Palmas
Abílio Jucá,Vereador,Eleito,608.484.565-72,Rio Branco
Abílio Méndez,Vereador,Eleito,575.554.347-09,Maceió
Abílio Ulloa,Vereador,Eleito,051.647.876-10,Macapá
Acacio Arantes,Vereador,Eleito,182.234.391-74,Manaus
Acacio Moreyra,Vereador,Eleito,323.804.413-32,Salvador
Acacio Paiacã,Vereador,Eleito,493.137.251-18,Fortaleza
Acacio Santiago,Vereador,Eleito,030.760.914-68,Brasília
Acacio Taperebá,Vereador,Eleito,612.706.496-12,Vitória
Adalberto Alvarenga,Vereador,Eleito,639.314.514-53,Goiânia
Adalberto Amarante,Vereador,Eleito,271.944.941-59,São Luís
Adalberto Avelar,Vereador,Eleito,764.864.373-16,Cuiabá
Adalberto Bahia,Vereador,Eleito,908.393.220-62,Campo Grande
Adalberto Barra,Vereador,Eleito,994.048.605-73,Belo Horizonte
Adalberto Becerril,Vereador,Eleito,885.168.620-38,Belém
Adalberto Bogalho,Vereador,Eleito,983.521.189-27,João Pessoa
Adalberto Cachoeira,Vereador,Eleito,899.180.851-42,Curitiba
Adalberto Camilo,Vereador,Eleito,490.366.722-79,Recife
Adalberto Estrada,Vereador,Eleito,479.360.922-85,Teresina
Adalberto Frois,Vereador,Eleito,668.736.896-61,Rio de Janeiro
Adalberto Jaguariúna,Vereador,Eleito,602.042.881-85,Natal
Adalberto Mexia,Vereador,Eleito,664.811.313-83,Porto Alegre
Adalberto Oleiro,Vereador,Eleito,581.101.964-54,Porto Velho
Adalberto Piratininga,Vereador,Eleito,438.702.467-40,Boa Vista
Adalberto Saloio,Vereador,Eleito,069.464.811-60,Florianópolis
Adalberto Varão,Vereador,Eleito,976.065.336-28,São Paulo
Adelaide Aragón,Vereador,Eleito,968.675.880-18,Aracaju
Adelaide Caldera,Vereador,Eleito,153.212.194-60,Palmas
Adelaide Dorneles,Vereador,Eleito,131.182.550-99,Rio Branco
Adelaide Fialho,Vereador,Eleito,192.804.020-99,Maceió
Adelaide Guilheiro,Vereador,Eleito,799.212.194-56,Macapá
Adelaide Losada,Vereador,Eleito,808.050.530-69,Manaus
Adelaide Lustosa,Vereador,Eleito,340.974.712-52,Salvador
Adelaide Malta,Vereador,Eleito,034.221.743-70,Fortaleza
Adelaide Minho,Vereador,Eleito,323.069.594-12,Brasília
Adelaide Nascimento,Vereador,Eleito,626.881.179-80,Vitória
Adelaide Rocha,Vereador,Eleito,720.856.855-36,Goiânia
Adelaide Sacramento,Vereador,Eleito,218.897.875-74,São Luís
Adelaide Sequera,Vereador,Eleito,223.006.103-88,Cuiabá
Adelaide Suárez,Vereador,Eleito,811.699.863-31,Campo Grande
Adelina Alcantara,Vereador,Eleito,576.553.218-76,Belo Horizonte
Adelina Batista,Vereador,Eleito,999.820.158-69,Belém
Adelina Benevides,Vereador,Eleito,854.124.284-60,João Pessoa
Adelina Bulhosa,Vereador,Eleito,576.366.358-60,Curitiba
